File: syncer-ledger-public.test
Build ID: 8ba775318910f0128d3790c530641575dcf63271
Type: cpu
Time: 2026-09-21 21:15:20 UTC
Duration: 11.55s, Total samples = 11.77s (101.93%)
Showing nodes accounting for 4.33s, 36.79% of 11.77s total
Dropped 580 nodes (cum <= 0.06s)
Showing top 20 nodes out of 335
      flat  flat%   sum%        cum   cum%
     0.59s  5.01%  5.01%      0.59s  5.01%  cmpbody
     0.58s  4.93%  9.94%      1.39s 11.81%  github.com/cockroachdb/pebble/v2/internal/arenaskl.(*Skiplist).findSpliceForLevel
     0.50s  4.25% 14.19%      0.51s  4.33%  sync/atomic.(*Int32).Add (inline)
     0.28s  2.38% 16.57%      0.36s  3.06%  runtime.tryDeferToSpanScan
     0.24s  2.04% 18.61%      0.84s  7.14%  bytes.Compare
     0.24s  2.04% 20.65%      0.24s  2.04%  internal/runtime/syscall/linux.Syscall6
     0.19s  1.61% 22.26%      0.19s  1.61%  github.com/segmentio/ksuid.fastEncodeBase62
     0.19s  1.61% 23.87%      0.19s  1.61%  runtime.nextFreeFast (inline)
     0.18s  1.53% 25.40%      5.48s 46.56%  github.com/cockroachdb/pebble/v2.(*DB).getInternal
     0.16s  1.36% 26.76%      0.83s  7.05%  runtime.mallocgcSmallScanNoHeader
     0.15s  1.27% 28.04%      0.50s  4.25%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshalPointerEager
     0.13s  1.10% 29.14%      0.23s  1.95%  github.com/cockroachdb/pebble/v2.(*Iterator).Close
     0.13s  1.10% 30.25%      0.31s  2.63%  runtime.scanObjectsSmall
     0.12s  1.02% 31.27%      0.13s  1.10%  internal/sync.(*Mutex).Unlock (inline)
     0.12s  1.02% 32.29%      0.23s  1.95%  sync.(*Pool).Get
     0.11s  0.93% 33.22%      0.22s  1.87%  regexp.(*Regexp).tryBacktrack
     0.11s  0.93% 34.15%      0.11s  0.93%  runtime.memclrNoHeapPointers
     0.11s  0.93% 35.09%      0.17s  1.44%  sync.(*Pool).Put
     0.10s  0.85% 35.94%      0.20s  1.70%  google.golang.org/protobuf/internal/impl.(*MessageInfo).marshalAppendPointer
     0.10s  0.85% 36.79%      0.10s  0.85%  internal/runtime/atomic.(*Uint64).Add (inline)
